,NAME,Median Home Value,Household Income,Population,Median Age,Per Capita Income,State,County
189,"Rock County, Nebraska",78300.0,52604.0,1350.0,50.9,34441.0,Nebraska,Rock County
190,"Banner County, Nebraska",136000.0,59625.0,696.0,48.5,34670.0,Nebraska,Banner County
191,"Sherman County, Nebraska",89400.0,51172.0,3042.0,49.9,27380.0,Nebraska,Sherman County
192,"Richardson County, Nebraska",66800.0,48096.0,8009.0,48.0,28965.0,Nebraska,Richardson County
193,"Howard County, Nebraska",127400.0,54399.0,6405.0,43.1,26651.0,Nebraska,Howard County
194,"Holt County, Nebraska",108500.0,57468.0,10245.0,43.2,29975.0,Nebraska,Holt County
195,"Furnas County, Nebraska",68800.0,47989.0,4786.0,46.5,27031.0,Nebraska,Furnas County
196,"Gosper County, Nebraska",115100.0,62545.0,2015.0,50.4,34731.0,Nebraska,Gosper County
197,"Saline County, Nebraska",98000.0,51143.0,14288.0,35.8,22943.0,Nebraska,Saline County
198,"Sarpy County, Nebraska",183700.0,79549.0,178351.0,34.4,34928.0,Nebraska,Sarpy County
199,"Thurston County, Nebraska",81900.0,48149.0,7140.0,27.8,20396.0,Nebraska,Thurston County
200,"Washington County, Nebraska",185800.0,70753.0,20219.0,41.4,34178.0,Nebraska,Washington County
201,"Boyd County, Nebraska",67100.0,50729.0,2042.0,52.3,27951.0,Nebraska,Boyd County
202,"Cherry County, Nebraska",120700.0,53684.0,5790.0,43.6,27605.0,Nebraska,Cherry County
203,"Dodge County, Nebraska",122600.0,53101.0,36683.0,39.0,27494.0,Nebraska,Dodge County
204,"Fillmore County, Nebraska",79100.0,55625.0,5574.0,47.7,32631.0,Nebraska,Fillmore County
205,"Garden County, Nebraska",81100.0,44471.0,1860.0,50.3,33572.0,Nebraska,Garden County
206,"Hooker County, Nebraska",84200.0,39115.0,691.0,55.9,25791.0,Nebraska,Hooker County
207,"Morrill County, Nebraska",92900.0,45121.0,4841.0,42.5,26461.0,Nebraska,Morrill County
208,"Nemaha County, Nebraska",109500.0,51922.0,7004.0,39.3,27945.0,Nebraska,Nemaha County
209,"Seward County, Nebraska",162600.0,67591.0,17127.0,37.9,30694.0,Nebraska,Seward County
210,"Thomas County, Nebraska",120300.0,50682.0,645.0,41.1,28701.0,Nebraska,Thomas County
211,"Dakota County, Nebraska",114900.0,55017.0,20317.0,33.8,24365.0,Nebraska,Dakota County
212,"Webster County, Nebraska",78300.0,42298.0,3571.0,45.2,26970.0,Nebraska,Webster County
213,"Antelope County, Nebraska",80600.0,48716.0,6372.0,45.3,26406.0,Nebraska,Antelope County
214,"Butler County, Nebraska",112600.0,55562.0,8067.0,43.9,28776.0,Nebraska,Butler County
215,"Clay County, Nebraska",88300.0,56316.0,6232.0,42.5,27297.0,Nebraska,Clay County
216,"Custer County, Nebraska",94800.0,49891.0,10830.0,43.2,33294.0,Nebraska,Custer County
217,"Gage County, Nebraska",115500.0,51662.0,21595.0,44.0,28438.0,Nebraska,Gage County
218,"Hamilton County, Nebraska",140400.0,64042.0,9178.0,41.5,32086.0,Nebraska,Hamilton County
219,"Kearney County, Nebraska",140000.0,56952.0,6552.0,40.1,30355.0,Nebraska,Kearney County
220,"Keith County, Nebraska",114200.0,48901.0,8099.0,49.5,28410.0,Nebraska,Keith County
221,"Madison County, Nebraska",136900.0,52857.0,35164.0,36.8,27528.0,Nebraska,Madison County
222,"Perkins County, Nebraska",113100.0,62469.0,2907.0,42.7,33749.0,Nebraska,Perkins County
223,"Saunders County, Nebraska",161800.0,66718.0,21024.0,40.8,32344.0,Nebraska,Saunders County
224,"Wayne County, Nebraska",135900.0,62623.0,9367.0,31.8,27192.0,Nebraska,Wayne County
225,"Keya Paha County, Nebraska",71400.0,49688.0,792.0,45.4,31406.0,Nebraska,Keya Paha County
226,"Knox County, Nebraska",89300.0,49752.0,8460.0,46.9,27372.0,Nebraska,Knox County
227,"Lincoln County, Nebraska",135700.0,56794.0,35433.0,40.3,30073.0,Nebraska,Lincoln County
228,"Pierce County, Nebraska",116700.0,56620.0,7157.0,41.5,29509.0,Nebraska,Pierce County
229,"Sioux County, Nebraska",113900.0,46875.0,1266.0,47.0,26951.0,Nebraska,Sioux County
230,"Cass County, Nebraska",170700.0,71139.0,25702.0,41.6,33178.0,Nebraska,Cass County
231,"Dixon County, Nebraska",90700.0,56775.0,5746.0,42.0,26757.0,Nebraska,Dixon County
232,"Dundy County, Nebraska",76300.0,44350.0,2023.0,42.3,25790.0,Nebraska,Dundy County
233,"Greeley County, Nebraska",79100.0,47128.0,2410.0,45.7,26159.0,Nebraska,Greeley County
234,"Hall County, Nebraska",142300.0,54742.0,61343.0,36.0,27421.0,Nebraska,Hall County
235,"Otoe County, Nebraska",134700.0,54828.0,15896.0,41.5,29229.0,Nebraska,Otoe County
236,"Red Willow County, Nebraska",99600.0,46859.0,10806.0,41.1,25456.0,Nebraska,Red Willow County
237,"Dawes County, Nebraska",120000.0,51748.0,8896.0,34.9,26021.0,Nebraska,Dawes County
238,"Cheyenne County, Nebraska",104900.0,56538.0,9852.0,41.0,32321.0,Nebraska,Cheyenne County
239,"Dawson County, Nebraska",99200.0,53769.0,23804.0,35.9,25590.0,Nebraska,Dawson County
240,"Valley County, Nebraska",107800.0,55170.0,4224.0,45.5,28587.0,Nebraska,Valley County
241,"McPherson County, Nebraska",119300.0,48882.0,454.0,50.9,26384.0,Nebraska,McPherson County
242,"Nance County, Nebraska",78400.0,45833.0,3554.0,44.3,29711.0,Nebraska,Nance County
243,"Stanton County, Nebraska",115100.0,62687.0,5992.0,41.2,31686.0,Nebraska,Stanton County
244,"Harlan County, Nebraska",88200.0,50344.0,3438.0,47.9,27421.0,Nebraska,Harlan County
245,"Blaine County, Nebraska",83900.0,50870.0,480.0,46.6,26767.0,Nebraska,Blaine County
246,"Buffalo County, Nebraska",165800.0,56952.0,49030.0,33.3,30184.0,Nebraska,Buffalo County
247,"Deuel County, Nebraska",78200.0,48500.0,1894.0,47.0,27397.0,Nebraska,Deuel County
248,"Hitchcock County, Nebraska",57800.0,42902.0,2843.0,46.8,26917.0,Nebraska,Hitchcock County
249,"Platte County, Nebraska",143900.0,62617.0,33063.0,38.5,29847.0,Nebraska,Platte County
250,"Thayer County, Nebraska",66800.0,50734.0,5098.0,47.0,28793.0,Nebraska,Thayer County
251,"Box Butte County, Nebraska",120100.0,56412.0,11089.0,40.7,28835.0,Nebraska,Box Butte County
252,"Churchill County, Nevada",174100.0,51514.0,24010.0,39.5,26606.0,Nevada,Churchill County
253,"Douglas County, Nevada",346500.0,62503.0,47828.0,51.5,36390.0,Nevada,Douglas County
254,"Pershing County, Nevada",100800.0,50846.0,6611.0,43.4,19330.0,Nevada,Pershing County
255,"Esmeralda County, Nevada",74000.0,40000.0,981.0,48.3,24713.0,Nevada,Esmeralda County
256,"Humboldt County, Nevada",173300.0,70373.0,16904.0,35.6,30516.0,Nevada,Humboldt County
257,"Mineral County, Nevada",85900.0,41163.0,4448.0,50.1,22897.0,Nevada,Mineral County
258,"White Pine County, Nevada",151900.0,62993.0,9737.0,39.2,26412.0,Nevada,White Pine County
259,"Elko County, Nevada",200800.0,77209.0,52252.0,33.9,33091.0,Nevada,Elko County
260,"Lincoln County, Nevada",134700.0,56414.0,5174.0,45.2,25304.0,Nevada,Lincoln County
261,"Nye County, Nevada",139100.0,45711.0,43705.0,52.7,25092.0,Nevada,Nye County
262,"Storey County, Nevada",222900.0,62284.0,3941.0,52.9,35887.0,Nevada,Storey County
263,"Washoe County, Nevada",299400.0,61155.0,450486.0,38.1,33546.0,Nevada,Washoe County
264,"Clark County, Nevada",238300.0,56802.0,2141574.0,37.1,29256.0,Nevada,Clark County
265,"Carson City, Nevada",242200.0,52034.0,54467.0,42.8,29767.0,Nevada,Carson City
266,"Lyon County, Nevada",183900.0,55493.0,53155.0,44.1,26855.0,Nevada,Lyon County
267,"Cheshire County, New Hampshire",190600.0,63057.0,76263.0,42.7,34136.0,New Hampshire,Cheshire County
268,"Merrimack County, New Hampshire",232100.0,72478.0,149452.0,42.8,36148.0,New Hampshire,Merrimack County
269,"Grafton County, New Hampshire",220400.0,63153.0,89811.0,42.9,36619.0,New Hampshire,Grafton County
270,"Rockingham County, New Hampshire",310200.0,90429.0,305129.0,44.3,45242.0,New Hampshire,Rockingham County
271,"Belknap County, New Hampshire",222300.0,68368.0,60640.0,47.1,35382.0,New Hampshire,Belknap County
272,"Sullivan County, New Hampshire",174000.0,60780.0,43125.0,46.1,31668.0,New Hampshire,Sullivan County
273,"Hillsborough County, New Hampshire",265000.0,78655.0,411087.0,40.5,39478.0,New Hampshire,Hillsborough County
274,"Strafford County, New Hampshire",226600.0,70650.0,128237.0,36.9,34161.0,New Hampshire,Strafford County
275,"Coos County, New Hampshire",124900.0,45696.0,32038.0,48.1,26535.0,New Hampshire,Coos County
276,"Carroll County, New Hampshire",236500.0,61116.0,47840.0,51.7,36033.0,New Hampshire,Carroll County
277,"Monmouth County, New Jersey",408400.0,95699.0,623387.0,43.2,48959.0,New Jersey,Monmouth County
